user_id,general_interest,Age
11025,"comics, graphic",76
3730,"fantasy, paranormal",72
6333,children,60
12593,"mystery, thriller, crime",58
12592,young-adult,70
6597,poetry,79
10856,"history, historical fiction, biography",98
7619,"mystery, thriller, crime",18
809,poetry,92
15639,"history, historical fiction, biography",97
5091,romance,31
9168,"history, historical fiction, biography",52
10121,"history, historical fiction, biography",45
8248,romance,85
7933,"fantasy, paranormal",74
9068,children,83
12180,"comics, graphic",80
18633,romance,89
14438,fiction,20
193,"mystery, thriller, crime",89
13717,romance,81
16140,poetry,67
4564,young-adult,37
6502,young-adult,65
13676,"fantasy, paranormal",92
6695,poetry,42
20262,"fantasy, paranormal",47
19295,young-adult,20
13036,"mystery, thriller, crime",36
14453,"comics, graphic",76
19306,non-fiction,48
13165,"mystery, thriller, crime",61
10483,young-adult,94
449,non-fiction,88
9500,"mystery, thriller, crime",82
17011,non-fiction,67
16838,non-fiction,93
9428,fiction,77
7154,"comics, graphic",78
2385,romance,70
17196,"mystery, thriller, crime",18
4694,fiction,39
10069,young-adult,46
15790,romance,83
19012,non-fiction,23
14712,romance,40
12185,"history, historical fiction, biography",30
6467,"comics, graphic",71
17744,non-fiction,83
14423,children,38
14222,children,26
13357,romance,74
6278,"mystery, thriller, crime",83
12998,romance,44
4262,non-fiction,47
19480,fiction,37
1637,"mystery, thriller, crime",76
1934,romance,83
6256,"fantasy, paranormal",21
11068,"mystery, thriller, crime",74
17817,non-fiction,96
17137,"fantasy, paranormal",59
12310,romance,50
825,children,64
12658,"history, historical fiction, biography",64
15180,young-adult,51
8812,romance,73
10176,fiction,92
15955,romance,98
12035,"history, historical fiction, biography",30
10569,romance,36
9013,young-adult,68
4590,"fantasy, paranormal",92
8507,children,89
13145,poetry,40
12639,"history, historical fiction, biography",48
11140,non-fiction,33
1356,"fantasy, paranormal",33
394,poetry,54
20000,"fantasy, paranormal",20
14681,young-adult,66
18092,"history, historical fiction, biography",38
10063,non-fiction,97
19665,"history, historical fiction, biography",95
19640,non-fiction,96
14096,"history, historical fiction, biography",99
7906,"fantasy, paranormal",40
2626,"fantasy, paranormal",80
17405,"comics, graphic",20
5986,"mystery, thriller, crime",35
1229,young-adult,40
11931,children,86
17594,"history, historical fiction, biography",95
14236,"fantasy, paranormal",69
10457,poetry,48
5878,non-fiction,39
9442,romance,29
4834,romance,36
7603,"history, historical fiction, biography",70
10631,"mystery, thriller, crime",67
8381,children,84
3244,children,74
3408,non-fiction,35
9505,romance,81
5338,"mystery, thriller, crime",65
15669,"mystery, thriller, crime",55
841,children,55
16756,young-adult,39
2628,fiction,70
7664,non-fiction,49
18938,young-adult,54
16621,young-adult,27
15779,"comics, graphic",37
1707,fiction,59
19599,children,41
4457,"history, historical fiction, biography",48
18662,non-fiction,24
16502,fiction,78
167,young-adult,77
15465,"comics, graphic",24
20074,children,20
2841,romance,91
16115,fiction,84
11330,"comics, graphic",68
413,non-fiction,18
4309,fiction,63
18356,young-adult,51
6066,"fantasy, paranormal",63
16566,"comics, graphic",48
17198,fiction,51
15027,non-fiction,25
6758,romance,18
7141,young-adult,96
13816,poetry,38
15352,romance,29
17958,poetry,37
6968,children,18
17299,young-adult,88
17715,"fantasy, paranormal",21
3519,children,96
6878,"mystery, thriller, crime",47
13522,"comics, graphic",70
4220,"fantasy, paranormal",79
15668,young-adult,40
4849,young-adult,28
8309,"comics, graphic",86
4047,romance,51
13219,romance,51
12538,fiction,86
10015,children,76
4136,romance,57
15191,children,49
12501,poetry,74
20201,"history, historical fiction, biography",99
18940,non-fiction,72
19282,non-fiction,18
12603,children,89
15592,poetry,86
9184,"mystery, thriller, crime",38
3746,"comics, graphic",91
10717,fiction,60
10768,romance,31
7204,"mystery, thriller, crime",45
11772,children,73
7175,"fantasy, paranormal",28
19706,romance,67
4952,"fantasy, paranormal",61
6877,"fantasy, paranormal",29
11885,fiction,86
8648,"comics, graphic",70
13328,romance,81
6705,young-adult,61
18581,poetry,81
1772,fiction,95
20288,"comics, graphic",52
15091,poetry,97
11602,non-fiction,42
19206,"history, historical fiction, biography",71
6950,"fantasy, paranormal",72
14545,children,96
6337,romance,81
9027,romance,26
18138,"mystery, thriller, crime",21
6728,"history, historical fiction, biography",31
19167,children,50
13701,"fantasy, paranormal",23
5575,poetry,23
7303,"fantasy, paranormal",76
4968,"comics, graphic",33
17386,"mystery, thriller, crime",18
17400,"comics, graphic",92
16554,romance,38
11468,fiction,99
18939,children,28
6735,young-adult,79
8241,poetry,32
10136,romance,41
1322,young-adult,23
9860,romance,87
19214,fiction,69
8492,"fantasy, paranormal",50
3630,fiction,26
923,young-adult,43
2919,"history, historical fiction, biography",84
8346,poetry,62
7565,"fantasy, paranormal",70
2126,non-fiction,18
18605,non-fiction,53
4155,poetry,21
17800,"fantasy, paranormal",28
20079,fiction,20
8424,poetry,55
12315,children,47
13258,"comics, graphic",50
13785,"mystery, thriller, crime",89
10911,"history, historical fiction, biography",71
5398,non-fiction,86
3382,"history, historical fiction, biography",97
2376,"mystery, thriller, crime",99
1815,"fantasy, paranormal",47
17381,"history, historical fiction, biography",26
14897,romance,93
5191,"mystery, thriller, crime",90
10293,romance,61
779,romance,88
8655,young-adult,85
4909,"mystery, thriller, crime",64
2230,young-adult,48
8385,children,48
1862,"mystery, thriller, crime",94
11929,young-adult,74
15671,"fantasy, paranormal",21
17590,poetry,92
10048,poetry,29
13599,children,55
5807,"fantasy, paranormal",72
12663,"history, historical fiction, biography",44
18945,romance,20
17148,"mystery, thriller, crime",89
6538,"comics, graphic",83
9150,"fantasy, paranormal",83
6864,"fantasy, paranormal",62
13073,"fantasy, paranormal",37
15655,poetry,65
11979,"mystery, thriller, crime",40
19733,poetry,51
13913,romance,19
5727,romance,73
15749,poetry,79
15182,fiction,45
20362,"fantasy, paranormal",96
7066,"fantasy, paranormal",93
4437,"fantasy, paranormal",31
18439,"mystery, thriller, crime",71
2533,"mystery, thriller, crime",54
11234,fiction,41
17034,young-adult,62
19644,fiction,91
2046,young-adult,86
7231,romance,91
3282,fiction,81
20558,children,60
8270,fiction,65
7049,romance,35
13153,fiction,19
4408,poetry,28
17747,"fantasy, paranormal",90
17881,"history, historical fiction, biography",54
6338,"comics, graphic",69
15088,non-fiction,63
6290,"mystery, thriller, crime",84
6100,non-fiction,56
241,poetry,50
5691,fiction,32
8801,"history, historical fiction, biography",33
9504,"history, historical fiction, biography",57
12602,"mystery, thriller, crime",71
6849,"fantasy, paranormal",67
7557,romance,69
7746,children,95
10153,"comics, graphic",42
14567,romance,47
12836,"mystery, thriller, crime",93
19014,young-adult,21
3318,romance,71
1302,romance,54
10228,fiction,28
19691,"fantasy, paranormal",81
3801,children,29
3632,young-adult,99
8640,romance,47
14217,young-adult,60
18774,children,34
4902,"history, historical fiction, biography",28
1994,children,22
7573,young-adult,92
6145,"mystery, thriller, crime",25
3994,poetry,44
10929,romance,78
12086,non-fiction,97
14960,children,54
19245,children,77
6353,young-adult,99
18437,non-fiction,42
3695,romance,47
9895,poetry,23
15873,non-fiction,45
536,children,36
8831,"fantasy, paranormal",86
11426,"mystery, thriller, crime",70
273,non-fiction,53
18686,"comics, graphic",86
559,children,35
17677,poetry,52
19432,romance,88
6013,poetry,85
18937,children,19
15357,poetry,65
6299,children,53
10054,non-fiction,91
10445,poetry,99
12216,"comics, graphic",41
18637,non-fiction,24
17044,poetry,94
20078,"comics, graphic",51
423,"mystery, thriller, crime",87
19311,children,55
17979,non-fiction,70
484,"history, historical fiction, biography",82
3327,non-fiction,43
15143,young-adult,18
11670,"history, historical fiction, biography",98
13176,"comics, graphic",94
10076,young-adult,59
10084,fiction,98
5523,romance,47
19360,non-fiction,58
11460,"fantasy, paranormal",35
7293,fiction,57
7668,"mystery, thriller, crime",43
12117,romance,89
1928,children,67
17122,fiction,75
14835,"history, historical fiction, biography",80
18322,"mystery, thriller, crime",31
4892,non-fiction,74
71,"mystery, thriller, crime",32
17277,children,57
8421,"comics, graphic",89
17692,non-fiction,40
8033,young-adult,57
10706,romance,89
2259,non-fiction,56
5813,children,41
2255,"comics, graphic",95
1072,romance,79
2732,"fantasy, paranormal",32
6560,non-fiction,95
11860,children,21
9736,"mystery, thriller, crime",68
16994,fiction,44
12850,"history, historical fiction, biography",50
15982,romance,23
8304,non-fiction,76
2681,children,51
7186,"comics, graphic",79
15359,children,84
3697,fiction,76
18613,"comics, graphic",28
4702,"mystery, thriller, crime",98
7849,"comics, graphic",81
13329,fiction,68
7797,fiction,30
1503,romance,78
3571,romance,60
4663,poetry,80
7819,"comics, graphic",94
7327,young-adult,86
4058,romance,42
18545,romance,49
10301,"history, historical fiction, biography",86
112,"mystery, thriller, crime",72
6307,"fantasy, paranormal",64
5335,poetry,49
14285,non-fiction,66
18438,children,40
13060,"history, historical fiction, biography",62
7487,young-adult,61
17276,fiction,76
3305,young-adult,84
5108,fiction,55
2180,poetry,37
13314,romance,82
16995,"comics, graphic",73
2120,fiction,70
2520,young-adult,42
18258,"history, historical fiction, biography",97
17917,children,79
2192,poetry,77
1247,"mystery, thriller, crime",27
17162,"fantasy, paranormal",95
5642,"mystery, thriller, crime",45
1974,"mystery, thriller, crime",62
12971,"comics, graphic",57
11913,fiction,25
11224,"history, historical fiction, biography",36
12691,fiction,27
12268,children,21
17208,"comics, graphic",26
15944,children,49
4405,"fantasy, paranormal",51
1572,poetry,54
16305,"comics, graphic",50
10397,non-fiction,65
9940,"mystery, thriller, crime",48
17245,"comics, graphic",21
7827,romance,48
8276,young-adult,49
3657,"comics, graphic",77
2127,"mystery, thriller, crime",81
8527,"history, historical fiction, biography",27
2743,"fantasy, paranormal",63
1750,non-fiction,82
10155,poetry,81
2984,non-fiction,81
8124,"history, historical fiction, biography",96
17241,"fantasy, paranormal",98
14938,romance,92
9595,"mystery, thriller, crime",75
6428,"fantasy, paranormal",53
15345,fiction,46
3950,fiction,27
11671,"fantasy, paranormal",50
4842,fiction,21
9533,romance,68
19096,"history, historical fiction, biography",35
3492,fiction,76
19619,poetry,40
12724,fiction,70
16108,fiction,83
61,"history, historical fiction, biography",81
13555,"history, historical fiction, biography",27
10705,non-fiction,97
5820,"comics, graphic",63
9734,"comics, graphic",37
19778,young-adult,57
9743,"fantasy, paranormal",59
14193,"comics, graphic",60
17689,"comics, graphic",27
19533,"mystery, thriller, crime",26
16543,"mystery, thriller, crime",73
1217,romance,72
17323,"mystery, thriller, crime",62
3841,poetry,78
2054,children,65
10217,romance,84
3954,romance,19
8758,"comics, graphic",49
9941,romance,70
15351,young-adult,78
8137,children,54
3989,non-fiction,71
20386,"history, historical fiction, biography",28
4567,"comics, graphic",20
10702,poetry,75
16029,children,80
3214,"comics, graphic",78
16427,children,22
18340,children,26
10161,poetry,82
9550,young-adult,37
20446,"history, historical fiction, biography",43
13748,"history, historical fiction, biography",63
2427,"comics, graphic",24
19846,children,19
20200,"fantasy, paranormal",95
20135,"fantasy, paranormal",36
12010,"comics, graphic",70
16400,young-adult,32
7748,poetry,77
5721,young-adult,49
16541,non-fiction,79
7612,non-fiction,87
16753,children,89
6494,non-fiction,57
10802,fiction,31
14276,romance,97
13953,romance,98
3017,fiction,37
20591,"comics, graphic",80
12562,young-adult,34
9870,"history, historical fiction, biography",30
2632,"fantasy, paranormal",92
19031,"fantasy, paranormal",44
8922,"mystery, thriller, crime",75
8383,"mystery, thriller, crime",44
12074,"mystery, thriller, crime",33
9924,young-adult,36
20429,young-adult,98
6535,children,40
2500,romance,52
11968,children,48
6343,children,60
1635,"fantasy, paranormal",68
17231,"history, historical fiction, biography",62
5137,romance,21
3093,romance,60
3565,"fantasy, paranormal",21
16059,romance,56
18855,"comics, graphic",21
7545,romance,53
14271,non-fiction,70
11945,non-fiction,37
6241,children,52
14399,romance,59
20567,non-fiction,41
11048,fiction,27
6686,non-fiction,76
6243,poetry,99
8658,"mystery, thriller, crime",93
14714,"history, historical fiction, biography",42
615,young-adult,51
13877,children,90
992,"mystery, thriller, crime",95
1174,non-fiction,70
2861,fiction,35
20331,young-adult,61
12542,young-adult,35
10814,non-fiction,70
251,children,96
8026,"mystery, thriller, crime",86
169,"history, historical fiction, biography",36
8208,non-fiction,85
6214,"history, historical fiction, biography",34
18382,"mystery, thriller, crime",30
18573,"history, historical fiction, biography",87
3907,"history, historical fiction, biography",67
19053,"history, historical fiction, biography",72
6478,"fantasy, paranormal",72
1299,"comics, graphic",63
5524,"mystery, thriller, crime",64
15158,poetry,67
17816,fiction,23
11846,romance,82
1568,romance,91
16707,poetry,36
3255,non-fiction,54
9852,"mystery, thriller, crime",38
15063,poetry,82
7484,poetry,64
11187,"mystery, thriller, crime",47
4542,"fantasy, paranormal",25
756,poetry,37
16725,"history, historical fiction, biography",72
114,non-fiction,89
983,"fantasy, paranormal",96
6233,"history, historical fiction, biography",56
16183,romance,93
2922,"mystery, thriller, crime",47
16207,young-adult,69
8535,poetry,23
13669,romance,34
7123,"fantasy, paranormal",53
20611,poetry,67
18954,non-fiction,30
18278,young-adult,32
18715,young-adult,65
4265,fiction,43
2011,children,82
3326,children,23
8230,"comics, graphic",58
9110,"fantasy, paranormal",58
13811,young-adult,49
5641,"history, historical fiction, biography",70
14629,children,82
4423,young-adult,35
19046,non-fiction,71
4090,"mystery, thriller, crime",37
15057,"comics, graphic",98
1673,children,51
16375,"mystery, thriller, crime",57
20006,"history, historical fiction, biography",45
6855,children,45
5268,"history, historical fiction, biography",56
18867,children,34
603,fiction,19
11854,romance,57
16847,fiction,91
6259,fiction,21
13470,non-fiction,43
11419,romance,37
3711,fiction,30
17943,children,27
11169,"mystery, thriller, crime",91
10003,"comics, graphic",94
6702,"fantasy, paranormal",39
10800,"comics, graphic",75
12245,"history, historical fiction, biography",45
5597,"history, historical fiction, biography",18
16742,poetry,68
11106,"fantasy, paranormal",89
6355,children,75
1251,"comics, graphic",49
7002,fiction,97
10934,romance,85
186,"fantasy, paranormal",26
4840,poetry,24
19186,young-adult,81
10018,non-fiction,94
12870,children,95
9917,"fantasy, paranormal",81
18283,fiction,81
378,poetry,55
15849,"fantasy, paranormal",55
10012,"comics, graphic",94
16627,fiction,81
18028,"history, historical fiction, biography",41
17556,young-adult,21
2916,poetry,33
7331,"mystery, thriller, crime",41
8064,romance,56
3985,poetry,91
15660,young-adult,57
13210,"comics, graphic",83
11225,"history, historical fiction, biography",37
11977,romance,33
4642,young-adult,92
6978,poetry,18
2412,fiction,44
18504,"history, historical fiction, biography",51
12469,young-adult,30
3852,poetry,87
18466,"mystery, thriller, crime",28
464,young-adult,37
2811,non-fiction,46
15679,romance,67
5648,"mystery, thriller, crime",79
2425,children,56
19156,"history, historical fiction, biography",18
12292,romance,66
15226,non-fiction,46
13124,poetry,80
8179,"mystery, thriller, crime",85
2967,non-fiction,96
1048,poetry,56
11123,non-fiction,55
10183,young-adult,90
15064,young-adult,23
6420,poetry,75
18575,"comics, graphic",61
9089,"fantasy, paranormal",58
4646,young-adult,65
13621,"fantasy, paranormal",27
161,children,26
14402,"comics, graphic",66
15125,"mystery, thriller, crime",34
18654,"fantasy, paranormal",96
9748,children,89
8305,"mystery, thriller, crime",50
3114,poetry,68
3865,young-adult,49
3290,romance,82
7613,non-fiction,98
10318,"history, historical fiction, biography",66
4644,romance,27
11345,non-fiction,94
3171,romance,64
1128,young-adult,57
1258,non-fiction,18
6432,children,55
14762,"comics, graphic",43
3043,"history, historical fiction, biography",29
9195,young-adult,87
504,"history, historical fiction, biography",39
5373,"history, historical fiction, biography",97
2401,"history, historical fiction, biography",65
11737,children,82
660,"fantasy, paranormal",38
9261,"fantasy, paranormal",40
1080,children,48
12122,"history, historical fiction, biography",41
1554,"history, historical fiction, biography",89
7448,young-adult,84
12111,fiction,31
9297,poetry,72
14148,poetry,28
6641,poetry,52
1746,non-fiction,58
5229,children,62
12806,"mystery, thriller, crime",75
1905,poetry,81
15725,young-adult,67
15664,children,59
1443,young-adult,76
4551,children,22
4187,"fantasy, paranormal",90
16107,"mystery, thriller, crime",80
10386,"mystery, thriller, crime",66
1064,non-fiction,42
2008,"mystery, thriller, crime",43
4896,romance,28
4569,"history, historical fiction, biography",52
15552,children,24
16022,"history, historical fiction, biography",33
14472,"mystery, thriller, crime",66
8413,"mystery, thriller, crime",54
14316,"comics, graphic",62
11290,"comics, graphic",33
18303,"fantasy, paranormal",80
19503,romance,30
11230,"fantasy, paranormal",90
1250,children,24
728,romance,28
15216,romance,33
16763,fiction,39
20495,"history, historical fiction, biography",50
9161,fiction,28
307,non-fiction,40
11071,children,87
20040,fiction,55
5160,"mystery, thriller, crime",19
5508,"mystery, thriller, crime",99
7604,non-fiction,94
5158,fiction,75
12955,"comics, graphic",84
13187,"fantasy, paranormal",32
1372,"comics, graphic",82
9967,non-fiction,88
20028,"comics, graphic",73
13149,"fantasy, paranormal",32
17973,"mystery, thriller, crime",89
16925,romance,98
3046,"history, historical fiction, biography",24
19567,non-fiction,79
14245,poetry,21
18262,fiction,57
8665,"comics, graphic",29
9359,"history, historical fiction, biography",49
5402,young-adult,56
10813,"comics, graphic",78
16045,romance,80
12159,children,91
20555,poetry,26
3551,romance,46
4991,poetry,53
17942,"comics, graphic",64
20126,non-fiction,63
15442,poetry,93
19213,poetry,41
12388,"history, historical fiction, biography",89
10011,poetry,33
13782,"mystery, thriller, crime",46
4610,fiction,83
13639,poetry,28
16386,"history, historical fiction, biography",20
12199,"fantasy, paranormal",52
13265,"fantasy, paranormal",64
5318,poetry,82
6326,children,64
5717,"comics, graphic",47
5073,romance,33
11378,"fantasy, paranormal",33
18410,children,68
13857,"history, historical fiction, biography",68
18507,poetry,71
12732,poetry,70
15597,"fantasy, paranormal",37
11218,young-adult,42
3057,children,65
11342,"mystery, thriller, crime",81
10347,non-fiction,60
14827,fiction,28
3742,"comics, graphic",81
17651,children,78
17020,young-adult,22
19869,"comics, graphic",80
1650,romance,83
15777,young-adult,42
11912,children,36
1001,children,47
11239,children,21
9482,children,83
6244,poetry,67
12643,romance,47
11119,"mystery, thriller, crime",73
6048,fiction,71
6177,"history, historical fiction, biography",37
3605,young-adult,73
11017,non-fiction,90
13539,young-adult,76
5884,"comics, graphic",74
12869,non-fiction,68
13234,"comics, graphic",26
1180,children,26
20627,"fantasy, paranormal",62
12296,poetry,61
8388,"history, historical fiction, biography",35
2415,fiction,80
18113,young-adult,61
18757,young-adult,96
10441,"fantasy, paranormal",97
20217,fiction,98
3115,children,84
16453,children,84
5298,non-fiction,83
8059,"history, historical fiction, biography",58
19956,poetry,99
726,poetry,72
5543,young-adult,81
4270,young-adult,41
15238,"fantasy, paranormal",41
8099,"fantasy, paranormal",80
17649,fiction,88
17602,poetry,78
2141,"fantasy, paranormal",55
1093,children,85
4700,fiction,55
9532,"history, historical fiction, biography",89
8504,poetry,53
14126,"comics, graphic",66
17512,"mystery, thriller, crime",94
18926,"history, historical fiction, biography",74
19260,"mystery, thriller, crime",22
11267,children,85
7636,"mystery, thriller, crime",41
10870,romance,24
11402,young-adult,35
12041,non-fiction,37
1871,"comics, graphic",82
17576,fiction,20
7353,non-fiction,94
18681,young-adult,83
2909,"fantasy, paranormal",98
19192,non-fiction,25
2735,children,51
15823,"mystery, thriller, crime",85
8436,"comics, graphic",96
16721,non-fiction,89
4789,poetry,78
15454,fiction,57
16817,"comics, graphic",20
19218,non-fiction,43
9944,children,93
2177,non-fiction,74
12289,"fantasy, paranormal",22
5432,young-adult,48
3958,"fantasy, paranormal",84
9974,young-adult,56
4076,fiction,87
4758,non-fiction,71
5154,young-adult,34
11337,fiction,22
6599,non-fiction,90
7094,"fantasy, paranormal",31
5695,fiction,43
9644,"history, historical fiction, biography",86
2879,fiction,41
11212,poetry,68
9931,fiction,89
17251,romance,96
1488,"fantasy, paranormal",73
7367,"history, historical fiction, biography",33
7473,romance,23
10432,"fantasy, paranormal",50
18142,young-adult,89
16987,non-fiction,36
6315,non-fiction,24
7444,fiction,44
3925,"fantasy, paranormal",67
11825,non-fiction,51
14673,children,25
6771,"fantasy, paranormal",57
17290,"fantasy, paranormal",23
12163,children,90
15427,fiction,71
10358,"history, historical fiction, biography",77
16229,romance,64
6422,"fantasy, paranormal",83
18350,"history, historical fiction, biography",98
18124,fiction,19
1665,young-adult,41
17308,romance,54
11604,"fantasy, paranormal",64
13069,romance,33
1441,non-fiction,94
6629,poetry,55
2817,romance,68
8356,"comics, graphic",76
6150,"comics, graphic",23
17440,"comics, graphic",94
13136,young-adult,67
20047,poetry,65
3603,"fantasy, paranormal",88
13780,romance,95
6523,young-adult,84
9896,poetry,24
19359,children,83
15573,"comics, graphic",38
18008,"comics, graphic",97
14443,"mystery, thriller, crime",54
18004,"comics, graphic",30
14600,children,69
16234,"comics, graphic",56
10181,non-fiction,72
20543,non-fiction,91
8897,young-adult,18
12657,"comics, graphic",60
20189,"mystery, thriller, crime",61
11550,poetry,65
6126,"fantasy, paranormal",42
19792,"mystery, thriller, crime",92
14373,children,94
20259,children,59
18769,children,24
3878,young-adult,41
12301,"fantasy, paranormal",82
2144,"mystery, thriller, crime",48
8016,romance,59
2633,"mystery, thriller, crime",75
15889,poetry,28
18513,romance,83
6666,"comics, graphic",44
7466,fiction,69
124,young-adult,77
20339,"comics, graphic",78
18672,"history, historical fiction, biography",52
19626,non-fiction,35
12319,children,73
4696,"fantasy, paranormal",18
3033,young-adult,95
19564,fiction,41
12224,poetry,66
20282,children,30
1335,poetry,82
15501,young-adult,48
3089,non-fiction,50
15966,poetry,45
8287,"history, historical fiction, biography",90
14346,fiction,77
17555,"mystery, thriller, crime",25
10462,"comics, graphic",86
6937,"mystery, thriller, crime",91
9327,young-adult,57
9691,"fantasy, paranormal",88
699,"fantasy, paranormal",86
6844,"history, historical fiction, biography",83
15662,non-fiction,80
4692,children,36
498,"comics, graphic",32
10604,fiction,39
6784,non-fiction,77
14693,poetry,77
18373,non-fiction,23
